name,LIGHT REQUIREMENT,light
Isolepis On Angel Shape Ceramic Pot,"Isolepis prefers bright, indirect light. It can tolerate some morning or late afternoon sun, but direct, intense sunlight should be avoided. Provide partial shade, especially during the hottest part of the day.",indirect
Japanese Maple (Acer Palmatum),"Full sun, Partial shade.",direct
Japanese Mini Succulent, Indirect sunlight would be ideal.,indirect
Laksa Leaf (Persicaria Odorata),"Best in part shade, but tolerates full sun as long as ample soil moisture and good air circulation are present.",shade.
Lemon Balm (Melissa Officinalis),This plant prefers full sun and is also mildly shade tolerant.,direct
Lemongrass (Cymbopogon Citratus)," It does well with a full day of sun, but a sunny spot with partial shade also does wonders for them. Give them 6-8 hours of sun for optimal exposure.",direct
Licuala Grandis (Grand Fan Palm),It prefers to grow in partial sunlight and full shade. Avoid exposing them to direct sunlight.,shade
Licuala Mattanensis Becc 'Mapu' (Paradise Palm),It prefers to grow in partial sunlight and full shade. Avoid exposing them to direct sunlight.,shade
Licuala Orbicularis (Parasol Palm),It prefers to grow in partial sunlight and full shade. Avoid exposing them to direct sunlight.,shade
Mammillaria (Old Lady Cactus),Full sun and light shade for a couple of hours are acceptable.,direct
Mammillaria Polythele,Full sun and light shade for a couple of hours are acceptable.,direct
Mammillaria Prolifera 'Texas Nipple Cactus',Plant in partial full sun. It needs lots of bright light and will not tolerate shade.,direct
Maple Plant In Decorative Pot,"Maple typically thrive in full sun to partial shade. They require at least 4-6 hours of direct sunlight per day for optimal growth. In hotter regions, some afternoon shade can be beneficial to protect the leaves from scorching.",direct
Maranta Fascinator Tricolor (Prayer Plant),"Prayer Plant thrives in bright, indirect light. It prefers medium to low light conditions. Avoid direct sunlight, as it can scorch the leaves. Provide some shade during the hottest part of the day.",indirect
Maranta Leuconeura Var. Kerchoveana (Prayer Plant),Maranta grows best in bright light but will tolerate shade. Avoid direct sunlight.,direct
Mexican Mint (Plectranthus Amboinicus),"Put the plant next to a window or in the garden. Mint can bear lots of sunlight, however, some shadows will do too.",indirect
Mini Cactus In A White Rectangular Pot,"This cactus definitely like a nice sunny spot, however when these plants are still young ( less than 3 inches in height ) or if taken as cuttings they are best placed in a less sunny position, however, when cuttings have fully rooted and the plant is taller than 3 inches in height they love to be placed in a sunny position as long as ventilation can be provided. If grown on a very sunny south-facing window in the middle of summer then a shade cloth may be placed over the window to allow indirect sunshine onto the plant this will prevent scorch or yellowing of the stem.",shade
Mini Dendrobium,"These plants like strong, natural sunlight. They will grow in lower-light conditions, but it is unlikely the plant will bloom well. The appearance of keikis often means the plant isn't getting enough light. On the other hand, if you see yellow leaves you may have given the plant too much direct sunlight.",direct
Mini Fortunella Japonica (KinKan)," Full to partial sun is required for growing kumquats. More light is preferred for all citrus, they can be grown indoors on an east or west-facing window and flower and produce fruit.",direct
Mini Podocarpus Macrophyllus (Maki),"Mini Podocarpus macrophyllus thrives in bright, indirect light. It can tolerate some direct sunlight, especially in the morning or late afternoon. Provide some shade during the hottest part of the day, particularly in regions with intense sunlight.",indirect
Mint (Mentha), Direct sunlight or bright shade.,direct
Mistletoe Cactus (Rhipsalis Baccifera),"It prefers bright, indirect light and can tolerate direct morning and evening light. The best place to put it is at least a few feet removed from a window, but Rhipsalis is an extremely hardy plant.",indirect
Mistletoe Cactus (Rhipsalis Baccifera) On Greek Statue Face Planter Pot,"It prefers bright, indirect light and can tolerate direct morning and evening light. The best place to put it is at least a few feet removed from a window, but Rhipsalis is an extremely hardy plant.",indirect
Money Tree (Pachira Aquatica),"Money Tree thrives in bright, indirect light. It can tolerate some direct sunlight, especially during the morning or late afternoon. Provide some shade during the hottest part of the day, particularly in regions with intense sunlight.",indirect
Peperomia Caperata Emerald,"A bright room with the plant placed in a shaded spot is ideal, without direct sunlight. In their natural habitat, they reside undercover within forests with some sun and shade so we need to try and replicate this.",shade
Peperomia Caperata Rosso,Peperomia is fine in moderate light conditions and will tolerate shade. Avoid direct sunlight.,indirect
Peperomia Marble,"A bright room with the plant placed in a shaded spot is ideal, without direct sunlight. In their natural habitat, they reside undercover within forests with some sun and shade so we need to try and replicate this.",shade
Peperomia Obtusifolia Green,"It needs to be shaded from the hot sun during the sunniest months, but those with variegated foliage like a few hours of sunshine every day. Therefore these plants should be placed quite close to a bright window, especially in winter.",shade
Peperomia Obtusifolia Variegated,"It needs to be shaded from the hot sun during the sunniest months, but those with variegated foliage like a few hours of sunshine every day. Therefore these plants should be placed quite close to a bright window, especially in winter.",shade
Peperomia Polybotrya Raindrop ,"It needs low to medium, indirect light. Avoid direct sunlight as it can burn the leaves.",indirect
Peperomia Schumi Red,"Peperomia Schumi Red thrives in bright, indirect light. It can tolerate lower light conditions but will have better growth and coloration in brighter environments. Avoid direct sunlight, as it can scorch the leaves. Provide some shade during the hottest part of the day.",indirect
Philodendron 'Ring Of Fire' Gold,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron 'Silver Metal',"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Barrosoanum Gigantenum,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Billietiae Variegated (SN8801),"It's important that your Philodendron Billietiae plant gets bright indirect light. If you expose your Philodendron's leaves to direct sunlight for long, they will burn.",indirect
Philodendron Billietiae Variegated (SN8802),"It's important that your Philodendron Billietiae plant gets bright indirect light. If you expose your Philodendron's leaves to direct sunlight for long, they will burn.",indirect
Philodendron Billietiae Variegated (SN8803),"It's important that your Philodendron Billietiae plant gets bright indirect light. If you expose your Philodendron's leaves to direct sunlight for long, they will burn.",indirect
Philodendron Billietiae Variegated (SN8804),"It's important that your Philodendron Billietiae plant gets bright indirect light. If you expose your Philodendron's leaves to direct sunlight for long, they will burn.",indirect
Philodendron Billietiae Variegated (SN8805),"It's important that your Philodendron Billietiae plant gets bright indirect light. If you expose your Philodendron's leaves to direct sunlight for long, they will burn.",indirect
Philodendron Billietiae X Atabapoense,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Birkin,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Black Cardinal,Provide it a spot with bright indirect sunlight for best coloration or even a few hours of the morning or late afternoon sun.,indirect
Philodendron Brandtianum,"This plant is tolerant to most light levels but is happiest in moderate or filtered light. Semi-shady areas are fine, but intense sunlight may scorch the leaves.",indirect
Philodendron Brasil,Filtered sunlight is most desirable. Direct exposure to sunlight will lead to the burning of leaves.,indirect
Philodendron Burle Marx,"Overwatering is the chief cause of disease or loss of plant life. While Philodendrons need regular watering, do ensure that you don t overwater them.",indirect
Philodendron Cherry,Filtered sunlight is most desirable. Direct exposure to sunlight will lead to the burning of leaves.,indirect
Philodendron Florida Ghost,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Gloriosum 'Zebra'," Philodendron Gloriosum 'Zebra' thrives in bright, indirect light. It can tolerate some low light conditions but will have better growth in brighter environments. Avoid direct sunlight, as it can scorch the leaves. Provide some shade during the hottest part of the day.",indirect
Philodendron Goeldii (Japan),The Philodendron Goeldii Fun Bun likes bright to low indirect light.,indirect
Philodendron Goeldii Fun Bun,It prefers bright indirect light.,indirect
Philodendron Green Princess,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Mamei,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Melanochrysum," Set the plant in a location with bright, indirect sunlight. While it s normal for older leaves to yellow, if this happens to several leaves at the same time, the plant may be getting too much light.",indirect
Philodendron Melanochrysum (Japan),Philodendron melanochrysum plants prefer bright shade. The bright shade is only another term for filtered sunlight or indirect bright light.,shade
Philodendron Moonlight,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Narrow,It requires mild sunlight to thrive. Direct exposure to sunlight will lead to the burning of leaves.,indirect
Philodendron Oxapapense Aff,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Painted Lady,Filtered sunlight is most desirable. Direct exposure to sunlight will lead to the burning of leaves.,indirect
Philodendron Panduriforme,These Philodendron plants need bright but indirect sunlight to thrive. Direct sunlight scorches and burns the leaves.,indirect
Philodendron Paraiso Verde,It requires mild sunlight to thrive. Direct exposure to sunlight will lead to the burning of leaves.,indirect
Philodendron Pina Variegata,Feed philodendron houseplants with a balanced liquid foliage houseplant fertilizer that contains macro-nutrients. Water the plant with the fertilizer monthly in spring and summer and every six to eight weeks in fall and winter.,indirect
Philodendron Pink Princess,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Plowmani,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Prince Of Orange,"Set the plant in a location with bright, indirect sunlight. While it s normal for older leaves to yellow, if this happens to several leaves at the same time, the plant may be getting too much light.",indirect
Philodendron Selloum,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Silver Metal With Plant Supporter (Japan),"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Silverado,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Squamiferum,Medium-light but can tolerate low light. Avoid too much direct sun.,indirect
Philodendron Subhastatum,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Subpinata,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Sunrise,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Sunset,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Tortum,The plant thrives well in bright indirect sunlight.,indirect
Philodendron Verrucosum,"Set the plant in a location with bright, indirect sunlight.",indirect
Philodendron Verrucosum 'Incensi',"Set the plant in a location with bright, indirect sunlight. While it s normal for older leaves to yellow, if this happens to several leaves at the same time, the plant may be getting too much light.",indirect
Philodendron White Princess,Filtered sunlight is most desirable. Direct exposure to sunlight will lead to the burning of leaves.,indirect
Philodendron White Wizard Half Moon,"Set the plant in a location with bright, indirect sunlight. Find a position near a window where the sun s rays never actually touch the foliage.",indirect
Philodendron Xanadu 'Golden',Filtered sunlight is most desirable. Direct exposure to sunlight will lead to the burning of leaves.,indirect
Pilea Cadierei (Pilea Cadierei ),"This plant thrives well with sunlight. However, if you notice the leaves turning brown, it means that there is too much sunlight.",direct
Pilea Norfolk,Partial shade.,shade
Pilea Peperomioides (Chinese Money Plant),"Pilea will do best in a bright, indirect sunny spot in your home. Even though this plant is part of the succulent family, do not place your Pilea in direct sunlight since it will scorch the leaves.",indirect
Platycerium Bifuratum 'Netherlands' (Staghorn Fern),"They do best in partial shade and bright, indirect light. At home or in your garden, display them in an area protected from direct sunlight, as this will harm the plant.",indirect
Platycerium Mt Kitshakood (Staghorn Fern),"They do best in partial shade and bright, indirect light. At home or in your garden, display them in an area protected from direct sunlight, as this will harm the plant.",indirect
Platycerium Ridleyi,"Platycerium ridleyi prefers bright, indirect light. It can tolerate some direct morning or evening sunlight, but avoid intense midday sun. Place the plant near an east or north-facing window or provide filtered light.",indirect
Platycerium Vietchii,"They do best in partial shade and bright, indirect light. At home or in your garden, display them in an area protected from direct sunlight, as this will harm the plant.",indirect
Plectranthus Prostratus Grke (Pillow Plant),"While almost all plectranthus can grow in full sun, most will prefer a bit of shade, especially in the afternoon sun.",shade
Podocarpus Macrophyllus (Yew Pine),"Podocarpus macrophyllus thrives in bright, indirect light. It can tolerate some direct sunlight, especially in the morning or late afternoon. Provide some shade during the hottest part of the day, particularly in regions with intense sunlight.",indirect
Potted Assorted Mokara Orchid Plant,SHOP MORE > FERTILIZER,indirect
Potted Assorted Orchid Plant (Dendrobium),SHOP MORE > FERTILIZER,indirect
Radermachera Sinica (China Doll Plant),"For best growth, give your china doll plant a lot of bright (but indirect) sun. It needs at least 4-5 hours of sun per day, even indoors.",direct
Red Bristle Philodendron (With Plant Supporter)," Red Bristle Philodendron thrives in bright, indirect light. It can tolerate some low light conditions but will have better growth in brighter environments. Avoid direct sunlight, as it can scorch the leaves. Provide some shade during the hottest part of the day.",indirect
Rex Begonia,The begonia vine needs bright light and warmth.,direct
Rhaphidophora Tetrasperma (Dwarf Monstera),Provide the plant with bright indirect light. Medium indirect light and some shade are tolerated and afternoon direct sun can be too much for the plant.,indirect
Rhipsalis,"It prefers bright, indirect light and can tolerate direct morning and evening light. The best place to put it is at least a few feet removed from a window, but Rhipsalis is an extremely hardy plant.",indirect
Rhipsalis On 3-Faced Greek Statue Planter Pot,"It prefers bright, indirect light and can tolerate direct morning and evening light. The best place to put it is at least a few feet removed from a window, but Rhipsalis is an extremely hardy plant.",indirect
Rhipsalis On Face Shape Ceramic Pot,"It prefers bright, indirect light and can tolerate direct morning and evening light. The best place to put it is at least a few feet removed from a window, but Rhipsalis is an extremely hardy plant.",indirect
Rhipsalis Ramulosa (Pseudorhipsalis Ramulosa),Bright shade to gentle direct sunlight.,shade
Rosemary (Creeping),Creeping Rosemary does best with full sunlight.,direct
Ruellia Simplex (White Katie),It grows well in sun and shade.,direct
Saintpaulia (African Violet) Assorted Colour,"Saintpaulia thrives in bright, indirect light. Place the plant near a north or east-facing window to provide bright, filtered light. Avoid direct sunlight, as it can cause leaf damage. Supplemental fluorescent lighting can be used if natural light is insufficient.",indirect
Sand Dollar Cactus (Astrophytum Asterias),Plant in partial full sun. It needs lots of bright light and will not tolerate shade.,direct
Sansevieria 'Bantel's Sensation',"Sansevieria can survive very challenging circumstances For it to thrive and reach its full potential, keep your plant in bright indirect sunlight at comfortable, consistent room temperatures.",indirect
Sansevieria Cylindrica (African Spear),"Best in moderate to bright, indirect light but will adapt to low light conditions too.",indirect
Sansevieria Cylindrica Boncel,"Sansevieria tolerates low light, does best in bright light to full shade. and can stand almost any sort of abuse. For it to thrive and reach its full potential, keep your plant in bright indirect sunlight at comfortable, consistent room temperatures.",indirect
Sansevieria Masoniana (Whale Fin Snake Plant),"For it to thrive and reach its full potential, keep your plant in bright indirect sunlight at comfortable, consistent room temperatures.",indirect
Sansevieria Trifasciata 'Moonshine',"Sansevieria tolerates low light, does best in bright light to full shade. and can stand almost any sort of abuse. For it to thrive and reach its full potential, keep your plant in bright indirect sunlight at comfortable, consistent room temperatures.",indirect
Sansevieria Trifasciata (Gold Flame),"Sansevieria tolerates low light, does best in bright light to full shade. and can stand almost any sort of abuse. For it to thrive and reach its full potential, keep your plant in bright indirect sunlight at comfortable, consistent room temperatures.",indirect
Sansevieria Trifasciata Laurentii,"Sansevieria tolerates low light and does best in bright light to full shade. and can stand almost any sort of abuse. For it to thrive and reach its full potential, keep your plant in bright indirect sunlight at comfortable, consistent room temperatures.",indirect
Sansevieria Zeylanica (Snake Plant),"Sansevieria tolerates low light, and does best in bright light to full shade. and can stand almost any sort of abuse. For it to thrive and reach its full potential, keep your plant in bright indirect sunlight at comfortable, consistent room temperatures.",indirect
Sauropus Spatulifolius (Dragon Tongue),Part Sun.,direct
Saxifraga Stolonifera (Strawberry Begonia),"Strawberry begonia prefers bright, but not direct sunlight. An east- or even west-facing window is perfect.",indirect
Schefflera Arboricola (Gold Capella Umbrella),"Basic light condition of bright without direct sunlight is best suited, although lower lighting conditions only really affect its growth rate rather than causing any harm.",indirect
Scindapsus Pictus (Satin Pothos),"Bright, indirect light. Quite tolerant to lower light, but can start to lose its characteristic leaf markings.",indirect
Scindapsus Treubii 'Moonlight',It likes bright indirect light which makes it a perfect candidate for an east-facing window or further away from a south-facing window. They will tolerate small periods of direct light but will start to grow very slowly and fade in color if placed in a dark place.,indirect
Selaginella,Full shade away from direct sunlight.,shade
Selaginella Erythropus 'Sanguinea',Full shade away from direct sunlight.,shade
Sinningia Leucotricha 'Brazilian Edelweiss' (Japan),"Sinningia leucotricha 'Brazilian Edelweiss' thrives in bright, indirect light. It prefers filtered sunlight or partial shade, as direct sunlight can scorch its leaves. Place the plant near a north or east-facing window or provide it with dappled light.",indirect
Sinningia Speciosa 'Sinningia Bullata' (Japan),"Sinningia speciosa 'Sinningia Bullata' thrives in bright, indirect light. It prefers filtered sunlight or partial shade, as direct sunlight can scorch its leaves. Place the plant near a north or east-facing window or provide it with dappled light.",indirect
Spathiphyllum Lancifolium (Peace Lily),"Peace lilies prefer light partial shade and can tolerate fluorescent lights. In fact, some have been known to thrive in rooms with no windows at all.",shade
Spathiphyllum Silver Streak (Peace Lily),"Peace lilies prefer light partial shade and can tolerate fluorescent lights. In fact, some have been known to thrive in rooms with no windows at all.",shade
Stapelia Gigantea (Zulu Giant),"Indoors or outdoors, starfish plants like lots of bright, indirect sunlight. Protect them against the direct sun as it can be damaging.",indirect
Stephania Cephalantha Hayata,It prefers a position in full sun to moderate shade.,direct
Stephania Cephalantha,It prefers a position in full sun to moderate shade.,direct
Stephania Nova In A Rustic Pot,It prefers a position in full sun to moderate shade.,direct
Strelitzia Alba (Birds Of Paradise),"Strelitzia alba thrives in full sun to partial shade. It prefers bright, indirect light for optimal growth and flowering. Provide some shade during the hottest part of the day, especially in regions with intense sunlight.",indirect
String Of Dolphins (Senecio Peregrinus),"Bright, indirect light, early morning sun, or semi to half shade. Plants may become sunburnt from too much sun.",indirect
String Of Hearts (Ceropegia Woodii),"The chain of hearts plant appreciates bright, indirect sunlight, but it can do well in a low light setting. Lower light will result in less contrast in the leaf variegation.",indirect
String Of Hearts Variegated (Ceropegia Woodii),"The chain of hearts plant appreciates bright, indirect sunlight, but it can do well in a low light setting. Additionally, a low light setting will cause the backs of the leaves to take on a purplish hue.",indirect
String Of Turtle (Peperomia Prostrata)," Bright light can help it grow well. If the leaves are dark green, do not expose plants to too much direct sunlight as it can harm them. These plants grow well as indoor plants under fluorescent lights.",indirect
Stromanthe Triostar (Stromanthe Sanguinea),"Medium, indirect light.",indirect
Syngonium Podophyllum 'Batik' (Arrowhead Plant),"Shaded, indirect Sunlight.",indirect
Syngonium Podophyllum 'Maria Allusion' (Arrowhead Plant),"Shaded, indirect Sunlight.",indirect
Syngonium Podophyllum 'Milk Confetti' (Arrowhead Plant),"Shaded, indirect Sunlight.",indirect
Syngonium Podophyllum (Arrowhead Philodendron),"Shaded, indirect Sunlight.",indirect
Tabernaemontana (Pinwheel Flower),"A bright place, but not direct sunlight. Suitable for east, south-east window, to the south - with a shading.Optimum - 3-5 hours a day of the morning sun.",indirect
Tillandsia (Air Plant),"Bright filtered or indirect light is ideal for indoor air plants. Some direct sun works, too (morning is better), but they shouldn t be baking all day.",indirect
Tillandsia Flexuosa (Air Plant),"It prefers bright indirect sunlight and water at least once a week. Shake out any excess water from its leaves, and allow it to dry completely before putting it back in its place.",indirect
Tillandsia Usneoides (Spanish Moss),"Bright filtered or indirect light is ideal for indoor air plants. Some direct sun works, too (morning is better), but they shouldn t be baking all day.",indirect
Torenia Blue (JAPAN),Partly shaded to fully shaded conditions.,shade
Tornado Dracaena," Tornado Dracaena thrives in bright, indirect light. It can tolerate some low light conditions but will have better growth in brighter environments. Avoid direct sunlight, as it can scorch the leaves. Provide some shade during the hottest part of the day.",indirect
Wishbone Flower (Torenia Fournieri),Partly shaded to fully shaded conditions.,shade
Yellow Palm (Dypsis Lutescens),"Bright, indirect light.",indirect
Zamia Furfuracea (Cardboard Palm),"Cardboard palms grow best in full sun, meaning at least six hours of direct sunlight on most days.",direct
Zamioculcas Zamiifolia (Zanzibar Gem),"It will survive in very low light conditions. However, for it to thrive and grow, put it in a very well-lit place while avoiding direct sunlight.",indirect
Zamioculcas Zamiifolia Raven Black (ZZ Plant),"Zamioculcas Raven will survive in very low light conditions. However, for it to thrive and grow, put it in a very well-lit place while avoiding direct sunlight.",indirect
Zebra Plant (Aphelandra Squarrosa),Bright light without direct sunlight during summertime is preferred. ,indirect
