name,WATER REQUIREMENT,change,,,
Haworthia Fasciata 'Alba' Albino,Soak the soil completely then let the soil dry out completely before watering again. And make sure the succulents are in well-draining soil in a pot with a drainage hole (more on that in a minute).,occasionally,,,
Haworthia Limifolia 'Fairy Washboard',"A surviving plant will get by with watering just once a month, however, to get the plant thriving it will need to be done at least once a fortnight, possibly once a week in very warm temperatures. Either way, water well and then only water again when the soil has largely dried out.",occasionally,,,
Haworthia Truncata,"A surviving plant will get by with watering just once a month, however, to get the plant thriving it will need to be done at least once a fortnight, possibly once a week in very warm temperatures. Either way, water well and then only water again when the soil has largely dried out.",occasionally,,,
Hemigraphis Repanda (Dragon Tongue),Medium water needs.,usually,,,
Holy Basil (Tulsi),Water the plant when the top one inch of soil is dry. Reduce watering in the winter to prevent diseases.,occasionally,,,
Homalomena (Emerald Gem),"It is either over or under watered the bottom leaves fall off. Always allow the top 50% of the soil to dry out before watering. It doesn t like anything cold, so use warm water and never dump extra ice cubes into the soil.",occasionally,,,
Homalomena Green Gem,"It is either over or under watered the bottom leaves fall off. Always allow the top 50% of the soil to dry out before watering. It doesn t like anything cold, so use warm water and never dump extra ice cubes into the soil.",occasionally,,,
Homalomena Rubescens (Queen Of Hearts),"It is either over or under watered the bottom leaves fall off. Always allow the top 50% of the soil to dry out before watering. It doesn t like anything cold, so use warm water and never dump extra ice cubes into the soil.",occasionally,,,
Hoya Carnosa,"Allow the top half of the soil to dry out between watering, then water deeply and allow to drain thoroughly. Do not over-water as too much water will kill the plant.",occasionally,,,
Hoya Compacta (Hindu Rope),"As it is semi-succulent, so it can survive with minimal watering. You should maintain slight moisture in the potting soil.",occasionally,,,
Hoya Kerrii Variegated,"With its succulent qualities, it's quite adept at storing water for longish periods of time between waterings. This makes it a hardy and undemanding plant for the most part, of course only providing basic care will result in a surviving rather than a thriving plant, so where possible wait until the soil has dried out a little and then water again.",usually,,,
Hoya Pachyclada On Wood,"Allow the top half of the soil to dry out between watering, then water deeply and allow to drain thoroughly. Do not over-water as too much water will kill the plant.",occasionally,,,
Huperzia Phlegmaria (Tassel Ferns),"Tassel Ferns enjoy plenty of water. In warm conditions, they should be watered daily.",usually,,,
Ionopsis On Wood,"Abundantly watered during active growth, but excellent drainage is required.",usually,,,
Isolepis On Angel Shape Ceramic Pot,"Isolepis requires consistently moist soil. Water the plant regularly to keep the soil evenly moist, but not waterlogged. Avoid allowing the soil to dry out completely between waterings. Mist the foliage with water occasionally to increase humidity.",occasionally,,,
Japanese Maple (Acer Palmatum),Moist but well-drained.,occasionally,,,
Japanese Mini Succulent,Weekly watering will be sufficient. Ensure the soil drys out in between each watering session.,occasionally,,,
Laksa Leaf (Persicaria Odorata),"The plant should never dry out and grows well even in standing water, often growing in wet ponds or stream margins.",usually,,,
Lemon Balm (Melissa Officinalis),"Requires soil to be moist consistently, however, do take note to not overwater the plant.",usually,,,
Lemongrass (Cymbopogon Citratus), Do not allow the grass to dry out. Watering requirements depend on where the plant s location - full sunlight and no shade mean the grass will dry out quickly.,usually,,,
Licuala Grandis (Grand Fan Palm),Regular watering but do not overwater. Allowed to plant soil to dry out a little more in the winter than in the summer.,usually,,,
Licuala Mattanensis Becc 'Mapu' (Paradise Palm),Regular watering but do not overwater. Allowed to plant soil to dry out a little more in the winter than in the summer.,usually,,,
Licuala Orbicularis (Parasol Palm),Regular watering but do not overwater. Allowed to plant soil to dry out a little more in the winter than in the summer.,usually,,,
Mammillaria (Old Lady Cactus),Water once a week.,occasionally,,,
Mammillaria Polythele,Water once a week.,occasionally,,,
Mammillaria Prolifera 'Texas Nipple Cactus',Water moderately but only when the soil is completely dry.,occasionally,,,
Maple Plant In Decorative Pot,"Maple have moderate water requirements. Keep the soil consistently moist but not waterlogged. Water the plant when the top inch of soil feels slightly dry. Avoid letting the soil dry out completely, especially during hot, dry periods.",occasionally,,,
Maranta Fascinator Tricolor (Prayer Plant),Prayer Plant has moderate water requirements. Keep the soil consistently moist but not waterlogged. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.,usually,,,
Maranta Leuconeura Var. Kerchoveana (Prayer Plant),"Keep the soil moist at all times, but do not over-water or allow the plant to sit in soggy conditions. Watering with soft, lukewarm water is recommended.",usually,,,
Mexican Mint (Plectranthus Amboinicus),"Supply your mint plant with enough water unlike other plants, mint needs a lot of water. You do not need to water it the whole day long, once a day or twice if necessary.",usually,,,
Mini Cactus In A White Rectangular Pot,This easy-care plant doesn't want a lot of water. Allow the soil to dry out before you give it another drink.,occasionally,,,
Mini Dendrobium,"During the growing season, dendrobiums like high humidity and lots of water. As with all orchids, the frequency of watering depends on your growing conditions, but at least weekly is a good idea during the summer. Don't leave them in a tray of water as that can rot the roots. After the growing season, cut water back somewhat (maybe every 10 days), but do not suspend watering.",usually,,,
Mini Fortunella Japonica (KinKan)," You should keep the soil moist around young trees, but not wet or soggy. Once the tree is established, water during dry spells.",usually,,,
Mini Podocarpus Macrophyllus (Maki),Mini Podocarpus macrophyllus has moderate water requirements. Keep the soil evenly moist but not overly saturated. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.,usually,moderate,,
Mint (Mentha)," Keep the soil moist, make sure to deeply water each time but remove excess water so as to not drown the roots.",usually,,,
Mistletoe Cactus (Rhipsalis Baccifera),"During the pre-flowering period, reduce watering, letting the top  inch of soil dry out between waterings. Rhipsalis do not like hard water and should, ideally, be watered with rainwater.",occasionally,,,
Mistletoe Cactus (Rhipsalis Baccifera) On Greek Statue Face Planter Pot,"During the pre-flowering period, reduce watering, letting the top  inch of soil dry out between waterings. Rhipsalis do not like hard water and should, ideally, be watered with rainwater.",occasionally,,,
Money Tree (Pachira Aquatica),Money Tree has moderate water requirements. Keep the soil evenly moist but not overly saturated. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.,occasionally,moderate,,
Peperomia Caperata Emerald,"It's important not to water these plants too much or underwater them. To get watering just about right, allow the soil to dry to the touch at the top and then water thoroughly, but much less during winter.",occasionally,,,
Peperomia Caperata Rosso,"Water when the soil has almost dried out, Radiator Plants don t like to be over-watered. Use soft water if possible and water from below.",occasionally,,,
Peperomia Marble,"It's important not to water these plants too much or underwater them. To get watering just about right, allow the soil to dry to the touch at the top and then water thoroughly, but much less during winter.",occasionally,,,
Peperomia Obtusifolia Green,Water the plant only when is clearly needed and then very sparingly. Allow the potting mixture to dry out almost completely between waterings.,occasionally,,,
Peperomia Obtusifolia Variegated,Water the plant only when is clearly needed and then very sparingly. Allow the potting mixture to dry out almost completely between waterings.,occasionally,,,
Peperomia Polybotrya Raindrop ,Water the plant only when is clearly needed and then very sparingly. Allow the potting mixture to dry out almost completely between waterings.,occasionally,,,
Peperomia Schumi Red,Peperomia Schumi Red has moderate water requirements. Keep the soil consistently moist but not waterlogged. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.,usually,,,
Philodendron 'Ring Of Fire' Gold,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",usually,index,,
Philodendron 'Silver Metal',"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",usually,index,,
Philodendron Barrosoanum Gigantenum,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",usually,index,,
Philodendron Billietiae Variegated (SN8801),Wait for a few inches of the soil to dry before you water this plant.,occasionally,,,
Philodendron Billietiae Variegated (SN8802),Wait for a few inches of the soil to dry before you water this plant.,occasionally,,,
Philodendron Billietiae Variegated (SN8803),Wait for a few inches of the soil to dry before you water this plant.,occasionally,,,
Philodendron Billietiae Variegated (SN8804),Wait for a few inches of the soil to dry before you water this plant.,occasionally,,,
Philodendron Billietiae Variegated (SN8805),Wait for a few inches of the soil to dry before you water this plant.,occasionally,,,
Philodendron Billietiae X Atabapoense,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Birkin,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Black Cardinal,"Allow to dry out before watering, water only when the top 3c, of soil, is dry to touch.",occasionally,,,
Philodendron Brandtianum,"Water the plant deeply, then allow the top of the soil to become slightly dry before watering again. Never allow the pot to sit in water.",occasionally,,,
Philodendron Brasil,Watering should be done with a moderate amount of water. You must ensure the plant s soil is moist at all times.,usually,,,
Philodendron Burle Marx,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Cherry,Watering should be done with a moderate amount of water. You must ensure the plant s soil is moist at all times.,usually,,,
Philodendron Florida Ghost,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Gloriosum 'Zebra', Philodendron Gloriosum 'Zebra' has moderate water requirements. Keep the soil consistently moist but not waterlogged. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.,occasionally,moderate,,
Philodendron Goeldii (Japan),"Keep the soil continually moist but not soggy, allow the top 2 inches of soil to dry between waterings in the winter.",occasionally,,,
Philodendron Goeldii Fun Bun,"Keep the soil continually moist but not soggy, allow the top 2 inches of soil to dry between waterings.",occasionally,,,
Philodendron Green Princess,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Mamei,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Melanochrysum," When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Melanochrysum (Japan),"For an even and healthy plant, you should always hydrate your Philodendron melanochrysum. The soil should never dry out.",usually,,,
Philodendron Moonlight,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Narrow,Watering should be done with a moderate amount of water. You must ensure the plant s soil is moist at all times.,usually,,,
Philodendron Oxapapense Aff,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Painted Lady,Watering should be done with a moderate amount of water. You must ensure the plant s soil is moist at all times.,usually,,,
Philodendron Panduriforme,A Philodendron Panduriforme needs moist soil at all times during the warmer months. You do have to be careful of over-watering the plant.,occasionally,,,
Philodendron Paraiso Verde,Watering should be done with a moderate amount of water. You must ensure the plant s soil is moist at all times.,usually,,,
Philodendron Pina Variegata,"When growing philodendron plants, allow the top inch (2.5cm) of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch (2.5 cm.), so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Pink Princess,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Plowmani,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Prince Of Orange,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Selloum,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Silver Metal With Plant Supporter (Japan),"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Silverado,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Squamiferum,Once weekly. Allow potting mix to dry out before watering.,occasionally,,,
Philodendron Subhastatum,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Subpinata,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Sunrise,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Sunset,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Tortum,"Philodendron Tortum should be watered well, deep enough so that the soil does not get dry too soon. Water when the soil is about to dry out but never let it dry out completely.",usually,,,
Philodendron Verrucosum,"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron Verrucosum 'Incensi',"When growing philodendron plants, allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,index,,
Philodendron White Princess,"It is a humidity-loving plant that needs relatively dry soil throughout the year. Water during the spring and summer months when the top two inches of soil are completely dry. Water the soil until it drains out of the plastic, terracotta, or clay pot's bottom hole.",occasionally,,,
Philodendron White Wizard Half Moon,"Allow the top inch of soil to dry out between waterings. The length of your index finger to the first knuckle is about an inch, so inserting your finger into the soil is a good way to check the moisture level.",occasionally,,,
Philodendron Xanadu 'Golden',Watering should be done with a moderate amount of water. You must ensure the plant s soil is moist at all times.,usually,,,
Pilea Cadierei (Pilea Cadierei ),Watering should be done regularly for this plant. Keep the top layer of the soil moist at all times.,usually,,,
Pilea Norfolk,Occasional watering,occasionally,,,
Pilea Peperomioides (Chinese Money Plant),"Allow the soil to dry between waterings, as Pilea does not like soggy soil. Watch the leaves when they start looking a tad droopy, it s time to water your plant.",occasionally,,,
Platycerium Bifuratum 'Netherlands' (Staghorn Fern),"In terms of the amount and frequency of watering, the Staghorn Fern does not like to be too wet. To avoid overwatering at home, allow the growing medium to become dry between waterings, and only water when the fertile green leaves start to droop.",occasionally,,,
Platycerium Mt Kitshakood (Staghorn Fern),"In terms of the amount and frequency of watering, the Staghorn Fern does not like to be too wet. To avoid overwatering at home, allow the growing medium to become dry between waterings, and only water when the fertile green leaves start to droop.",usually,,,
Platycerium Ridleyi,"Keep the fern's medium consistently moist but not waterlogged. Water thoroughly when the top inch of the medium feels dry. Water less frequently during the dormant winter months but do not allow it to completely dry out. Water the basal shield fronds (the round, flat fronds at the base) sparingly, mostly focusing on the fertile fronds.",occasionally,,,
Platycerium Vietchii,"In terms of the amount and frequency of watering, they do not like to be too wet. To avoid overwatering at home, allow the growing medium to become dry between waterings, and only water when the fertile green leaves start to droop.",usually,,,
Plectranthus Prostratus Grke (Pillow Plant),"Plectranthus require regular watering to thrive, on average about 1 inch of water per week. Only water once the top inch or two of soil has dried out. Be careful not to overwater.",occasionally,,,
Podocarpus Macrophyllus (Yew Pine),"Podocarpus macrophyllus has moderate water requirements. Keep the soil evenly moist, but avoid overwatering. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.",occasionally,moist,moderate,
Potted Assorted Mokara Orchid Plant,Water about once per week and keep the plant moist but the surface of the bark media should not be soggy.,occasionally,,,
Potted Assorted Orchid Plant (Dendrobium),Water about once per week and keep the plant moist but the surface of the bark media should not be soggy.,occasionally,,,
Radermachera Sinica (China Doll Plant),"The soil should be kept moist, but the roots shouldn't be allowed to sit in water. Water only when the top inch of the soil is dry to the touch. If your plant develops brittle leaves that turn yellow, it not getting enough water. Too much water is indicated by black-colored tips.",occasionally,,,
Red Bristle Philodendron (With Plant Supporter), Red Bristle Philodendron has moderate water requirements. Keep the soil consistently moist but not waterlogged. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.,usually,moderate,,
Rex Begonia,Water the plant regularly during the active growth period of the spring and summer. Don't allow the soil to dry out completely.,occasionally,,,
Rhaphidophora Tetrasperma (Dwarf Monstera),"Keep this plant fairly moist, but not waterlogged. The plant does not like to be dry and likes to stay moist, at least during its growing season. The plant could be at a faster growth rate with regular watering.",usually,,,
Rhipsalis,"During the pre-flowering period, reduce watering, letting the top  inch of soil dry out between waterings. Rhipsalis do not like hard water and should, ideally, be watered with rainwater.",occasionally,,,
Rhipsalis On 3-Faced Greek Statue Planter Pot,"During the pre-flowering period, reduce watering, letting the top  inch of soil dry out between waterings. Rhipsalis do not like hard water and should, ideally, be watered with rainwater.",occasionally,,,
Rhipsalis On Face Shape Ceramic Pot,"During the pre-flowering period, reduce watering, letting the top  inch of soil dry out between waterings. Rhipsalis do not like hard water and should, ideally, be watered with rainwater.",occasionally,,,
Rhipsalis Ramulosa (Pseudorhipsalis Ramulosa),Water when the medium is completely dry.,occasionally,,,
Rosemary (Creeping),Deep occasional watering is best. Allow the soil surrounding the plant to dry out completely between waterings and then water thoroughly.,occasionally,,,
Ruellia Simplex (White Katie),Water is just enough to keep the soil consistently moist.,usually,,,
Saintpaulia (African Violet) Assorted Colour,"Saintpaulia prefers consistent moisture but not waterlogged conditions. Water the plant from the bottom by placing the pot in a saucer of water for a short period, allowing the soil to soak up moisture. Allow the top inch of soil to dry slightly between waterings. Avoid wetting the foliage to prevent leaf spots and rot",usually,,,
Sand Dollar Cactus (Astrophytum Asterias),Water moderately but only when the soil is completely dry.,occasionally,,,
Sansevieria 'Bantel's Sensation',Always water on the edge of the base of the plant - never pour water over the leaves. Be careful not to overwater.,occasionally,,,
Sansevieria Cylindrica (African Spear),"Allow the soil to dry out before watering, then water thoroughly and allow to drain freely. Do not allow the plant to sit in water as this will cause root rot.",occasionally,,,
Sansevieria Cylindrica Boncel,Always water on the edge of the base of the plant - never pour water over the leaves. Don t allow water to stand on the leaves.,usually,,,
Sansevieria Masoniana (Whale Fin Snake Plant),It requires little water and is very drought tolerant. Always water on the edge of the base of the plant - never pour water over the leaves.,occasionally,,,
Sansevieria Trifasciata 'Moonshine',Always water on the edge of the base of the plant - never pour water over the leaves. Be careful not to overwater.,usually,,,
Sansevieria Trifasciata (Gold Flame),Always water on the edge of the base of the plant - never pour water over the leaves. Don t allow water to stand on the leaves.,usually,,,
Sansevieria Trifasciata Laurentii,Always water on the edge of the base of the plant - never pour water over the leaves. Don t allow water to stand on the leaves.,usually,,,
Sansevieria Zeylanica (Snake Plant),Always water on the edge of the base of the plant - never pour water over the leaves. Don t allow water to stand on the leaves.,usually,,,
Sauropus Spatulifolius (Dragon Tongue),Average Water Needs. Water regularly. Do not overwater.,usually,,,
Saxifraga Stolonifera (Strawberry Begonia),"These fast growers like a lot of water during the growing season. As with other hairy-leaved plants, avoid getting water on their leaves to reduce the risk of fungal disorders.",usually,,,
Schefflera Arboricola (Gold Capella Umbrella),The best advice is to water once the topsoil becomes dry. Over-watering is more of a problem than a lack of water.,occasionally,,,
Scindapsus Pictus (Satin Pothos),"Water once the top 2-3 inches of soil is dry. Will tolerate underwatering, but much less tolerant of overwatering.",occasionally,,,
Scindapsus Treubii 'Moonlight',You should allow the plant to dry out completely before watering. Much like a succulent it doesn't need to be drenched all the time and won't mind a bit of neglect watering-wise.,occasionally,,,
Selaginella,aKeep the soil constantly moist but not soggy using rainwater or distilled water.,usually,,,
Selaginella Erythropus 'Sanguinea',Keep the soil constantly moist but not soggy using rainwater or distilled water.,usually,,,
Sinningia Leucotricha 'Brazilian Edelweiss' (Japan),"Sinningia leucotricha 'Brazilian Edelweiss' has moderate water requirements. Keep the soil evenly moist during the growing season, but avoid waterlogging. Water the plant when the top inch of soil feels slightly dry. Reduce watering during the plant's dormant winter months, allowing the soil to dry out more between waterings.",usually,season,moist,moderate
Sinningia Speciosa 'Sinningia Bullata' (Japan),"Sinningia speciosa 'Sinningia Bullata' has moderate water requirements. Keep the soil evenly moist during the growing season, but avoid waterlogging. Water the plant when the top inch of soil feels slightly dry. Reduce watering during the plant's dormant winter months, allowing the soil to dry out more between waterings.",usually,season,moist,moderate
Spathiphyllum Lancifolium (Peace Lily),"One of the great advantages of caring for the peace lily is the fact that it sags a bit when it needs water, essentially telling you when it s thirsty. In general, water at least once a week and keep the soil moist.",occasionally,,,
Spathiphyllum Silver Streak (Peace Lily),"One of the great advantages of caring for the peace lily is the fact that it sags a bit when it needs water, essentially telling you when it s thirsty. In general, water at least once a week and keep the soil moist.",occasionally,,,
Stapelia Gigantea (Zulu Giant),"It's best to use the soak and dry method, and allow the soil to dry out completely between waterings.",occasionally,,,
Stephania Cephalantha Hayata,"They need moderate watering, enough to keep the soil evenly moist, but not saturated.",usually,,,
Stephania Cephalantha,"They need moderate watering, enough to keep the soil evenly moist, but not saturated.",usually,,,
Stephania Nova In A Rustic Pot,"They need moderate watering, enough to keep the soil evenly moist, but not saturated.",usually,,,
Strelitzia Alba (Birds Of Paradise),"Strelitzia alba has moderate water requirements. Water the plant deeply, allowing the top inch of soil to dry between waterings. Avoid overwatering, as it can lead to root rot. During the growing season, water more frequently and reduce watering during the dormant period.",usually,,,
String Of Dolphins (Senecio Peregrinus),Allow soil to dry out between watering to avoid root rot.,occasionally,,,
String Of Hearts (Ceropegia Woodii),"As succulent, these plants like to be watered sparingly, especially in the wintertime. Allow the soil to nearly dry out and then water thoroughly.",occasionally,,,
String Of Hearts Variegated (Ceropegia Woodii),"As succulent, these plants like to be watered sparingly, especially in the wintertime. Allow the soil to nearly dry out and then water thoroughly.",occasionally,,,
String Of Turtle (Peperomia Prostrata), It prefers moistsoil but does not like overwatering. Allow the top layer of the soil to completely dry before watering again.,occasionally,,,
Stromanthe Triostar (Stromanthe Sanguinea),"Maintain moist but not soggy soil. Use filtered, distilled or rainwater ideally.",usually,,,
Syngonium Podophyllum 'Batik' (Arrowhead Plant),"Keep soil moist at all times, and be careful not to overwater.",usually,,,
Syngonium Podophyllum 'Maria Allusion' (Arrowhead Plant),"Keep soil moist at all times, and be careful not to overwater.",usually,,,
Syngonium Podophyllum 'Milk Confetti' (Arrowhead Plant),"Keep soil moist at all times, and be careful not to overwater.",usually,,,
Syngonium Podophyllum (Arrowhead Philodendron),"Keep soil moist at all times, be careful not to overwater.",usually,,,
Tabernaemontana (Pinwheel Flower),"During flowering in the summer, abundant watering is about once a week. Twice a month to add water for watering lemon juice (a few drops per 1 liter of water).",occasionally,,,
Tillandsia (Air Plant),Do all watering in the morning. Evening soaking or misting disrupts the plant's ability to respire overnight and extends drying time.,usually,,,
Tillandsia Flexuosa (Air Plant),Soak your Tillandsia Flexuosa once or twice a week in a bowl of water for 10 minutes each time. You can also mist your plant with a spray bottle 3-4 times a week if it needs more water between the soakings.,usually,,,
Tillandsia Usneoides (Spanish Moss),"Every one to two weeks, soak your air plant in room temperature tap water (or rainpond water if you can find it) for 5-10 minutes. After soaking gently shake excess water from your plant.",occasionally,,,
Torenia Blue (JAPAN),"Water the plant to ensure the roots are soaked, and then withhold water until the top 1 inch of soil feels slightly dry to the touch.",occasionally,,,
Tornado Dracaena, Tornado Dracaena has moderate water requirements. Keep the soil consistently moist but not waterlogged. Water the plant when the top inch of soil feels slightly dry. Adjust watering frequency based on the season and environmental conditions.,occasionally,,,
Wishbone Flower (Torenia Fournieri),"Water the plant to ensure the roots are soaked, and then withhold water until the top 1 inch of soil feels slightly dry to the touch.",occasionally,,,
Yellow Palm (Dypsis Lutescens),"Water the areca palm until water drains from the bottom of the pot. From spring through fall, water the palm as soon as the soil feels dry a little below the surface.",occasionally,,,
Zamia Furfuracea (Cardboard Palm),Water thoroughly then allow the top 2 in (5 cm) to dry out before watering again. Put it in a pot with drainage holes to prevent soggy soil.,occasionally,,,
Zamioculcas Zamiifolia (Zanzibar Gem),Allow the soil to become dry at the top to the touch between watering and do not overwater. It s best to water this plant less than too much because over-watering can cause stem and rhizome rot.,occasionally,,,
Zamioculcas Zamiifolia Raven Black (ZZ Plant),Allow the soil to become dry at the top to the touch between watering and do not overwater. It s best to water this plant less than too much because over-watering can cause stem and rhizome rot.,occasionally,,,
Zebra Plant (Aphelandra Squarrosa),"It's important to keep the soil moist to touch, and not waterlogged or too dry. Advisable to use lukewarm soft water.",usually,,,
